n,k,winner,elapsed_ms,recursive_calls,unique_states,memo_hits,plant_cutoffs,wind_cutoffs,max_depth
1,1,P1,0,9,3,6,1,0,1
2,1,P2,0,5,2,3,0,4,1
2,2,P2,0,8,5,3,0,7,2
2,3,P2,0,14,8,6,0,13,3
2,4,P1,0,276,84,192,49,0,4
3,1,P2,0,10,4,6,0,9,1
3,2,P2,0,34,18,16,0,33,2
3,3,P2,1,132,88,44,0,131,3
3,4,P2,5,552,362,190,0,551,4
3,5,P2,14,1922,1026,896,0,1921,5
3,6,P1,13,2062,826,1236,342,724,6
3,7,P1,7,1161,528,633,299,14,7
3,8,P1,7,1149,523,626,301,0,8
4,1,P2,0,17,4,13,0,16,1
4,2,P2,0,62,46,16,0,61,2
4,3,P2,5,650,512,138,0,649,3
4,4,P2,64,6708,4809,1899,0,6707,4
4,5,P2,543,58272,33032,25240,0,58271,5
4,6,P2,3290,373398,144021,229377,299,371817,6
4,7,P1,277,25845,12709,13136,4368,13069,7
4,8,P1,177,13348,8839,4509,4737,231,8
